frame,accel_x_input,accel_x_given,accel_x_output,accel_x_simple_output,accel_y_input,accel_y_given,accel_y_output,accel_y_simple_output,accel_z_input,accel_z_given,accel_z_output,accel_z_simple_output,gyro_x_input,gyro_x_given,gyro_x_output,gyro_y_input,gyro_y_given,gyro_y_output,gyro_z_input,gyro_z_given,gyro_z_output
10,-0.5908203,-0.595333636,-0.5438803,-0.5871812,0.758789063,0.762452543,0.68311876,0.76724035,0.319824219,0.3190845,0.38126782,0.32440653,0.00106422522,0.00106422522,0.011881961,0.00106422522,0.00106422522,-0.19915201,0.0,7.88314937e-05,0.0694576
11,-0.5986328,-0.5937896,-0.5460764,-0.5840314,0.7675781,0.762288868,0.68223625,0.7776849,0.319335938,0.310951352,0.38110355,0.3183398,0.0,0.000354741729,0.011926582,-0.00212845043,-0.00106422522,-0.1995431,0.0,0.000392602349,0.06960777
12,-0.587402344,-0.5927866,-0.54095167,-0.5772409,0.756835938,0.759630144,0.67973363,0.76424354,0.2944336,0.306775451,0.3828541,0.31612757,0.0,0.000118247241,0.011818293,-0.00212845043,-0.00141896692,-0.19955423,0.00106422522,0.00106422522,0.06989388
13,-0.597167969,-0.598637164,-0.54308534,-0.58695614,0.7597656,0.762324631,0.6780711,0.7677461,0.3149414,0.309289724,0.3808369,0.31613874,0.0,3.94157469e-05,0.011847471,-0.00106422522,-0.000472988962,-0.19925289,0.00106422522,0.00106422522,0.06983171
14,-0.605957031,-0.5991225,-0.53637224,-0.6016788,0.7675781,0.7635483,0.6788275,0.78010434,0.306152344,0.309476763,0.38277724,0.31570774,0.0,0.000383731327,0.011981069,0.00106422522,0.000906562258,-0.19863829,0.0,-0.000165647973,0.069417045
15,-0.592773438,-0.5930994,-0.53498966,-0.58375776,0.7607422,0.762165844,0.678041,0.76683646,0.312988281,0.311817765,0.38056457,0.31757534,0.00106422522,0.00106422522,0.011931904,0.00212845043,0.00136641262,-0.19833858,-0.00212845043,-0.00212845043,0.069191836
16,-0.587402344,-0.592556536,-0.5377318,-0.57543707,0.762207031,0.7630071,0.682839,0.77201515,0.312988281,0.3114588,0.38116002,0.3160113,-0.00106422522,0.000354741729,0.011864971,0.00106422522,0.000100729136,-0.19866101,0.00106422522,0.00106422522,0.06933791
17,-0.597167969,-0.5972584,-0.5365846,-0.58777684,0.764648438,0.7644269,0.6818609,0.7760348,0.3095703,0.308897734,0.3829559,0.31278294,0.00106422522,0.0008277307,0.012046033,-0.00212845043,-0.001030649,-0.19912405,0.0,0.000354741729,0.06950026
18,-0.6020508,-0.6011043,-0.54397696,-0.5921922,0.765625,0.765062869,0.682895,0.7697903,0.305664063,0.308044046,0.38075894,0.31198692,0.00106422522,0.0009853938,0.012456348,-0.00106422522,-0.001053033,-0.1996165,0.0,0.000118247241,0.06950368
19,-0.6040039,-0.601084232,-0.54439205,-0.59525204,0.7651367,0.766739666,0.6828947,0.7795443,0.3095703,0.311665744,0.3832581,0.3156093,0.00106422522,0.00106422522,0.012618547,-0.00106422522,-0.00106049457,-0.19974642,0.0,0.0005386232,0.069375925
20,-0.598144531,-0.5955437,-0.5377234,-0.5879868,0.770019531,0.7642062,0.6847289,0.7694597,0.3173828,0.3148261,0.38200197,0.32024634,0.0,0.00148602063,0.012630869,-0.00106422522,-0.00106298167,-0.1996689,0.00106422522,0.00106422522,0.069185376
21,-0.587402344,-0.589953363,-0.53817934,-0.57642925,0.7558594,0.761083066,0.6861832,0.77033573,0.3154297,0.312461585,0.3813629,0.3193075,0.00212845043,0.00212845043,0.012654566,-0.00106422522,-0.00106422522,-0.19953641,-0.00106422522,-0.000354741729,0.06897505
22,-0.586914063,-0.589392,-0.5336635,-0.5764081,0.7631836,0.75955373,0.6864416,0.7673678,0.3071289,0.309394747,0.38297322,0.31557876,0.0,0.00191332249,0.012558747,0.0,-0.00145865383,-0.19945775,-0.00106422522,-0.00106422522,0.06885906
23,-0.5913086,-0.5929484,-0.53560346,-0.5815329,0.754394531,0.7645778,0.6887589,0.7595176,0.30859375,0.312441468,0.3832574,0.31778193,0.00106422522,0.00106422522,0.012259064,-0.00212845043,-0.00212845043,-0.19945079,0.0,-0.00116327486,0.06898355
24,-0.598144531,-0.5957615,-0.53999853,-0.5885328,0.779785156,0.7716236,0.6800429,0.7864316,0.319335938,0.313619822,0.38264954,0.32081217,0.0,-0.000364220061,0.0117000295,0.0,-0.00113713928,-0.19926451,-0.00106422522,-0.00106422522,0.06922594
25,-0.5961914,-0.5963736,-0.5392163,-0.58521587,0.7705078,0.765996933,0.67949075,0.78479606,0.309082031,0.310920149,0.38214305,0.31638575,-0.00212845043,-0.00212845043,0.011369184,0.00106422522,0.00106422522,-0.1991054,0.00106422522,0.00106422522,0.069326274
26,-0.597167969,-0.5980425,-0.53930557,-0.5852417,0.7558594,0.763958633,0.6821068,0.7625153,0.3100586,0.312136143,0.38385713,0.31524795,0.00106422522,-0.000709483458,0.011254263,-0.00106422522,-0.00106422522,-0.19910419,0.0,0.0009754637,0.06923738
27,-0.600585938,-0.5997381,-0.54158556,-0.59143007,0.770019531,0.766697168,0.6819852,0.7825174,0.3154297,0.313843578,0.3870366,0.3189447,-0.00106422522,-0.000945978041,0.011232264,0.0,-0.001938954,-0.19923466,-0.00106422522,-0.00106422522,0.0690744
28,-0.600585938,-0.598187447,-0.5398,-0.59091914,0.7661133,0.7630527,0.6795703,0.7802258,0.313964844,0.31701687,0.3832285,0.3238765,-0.00106422522,-0.000315326,0.011544581,-0.00106422522,-0.00106422522,-0.19962415,0.0,-0.00168307265,0.068963625
29,-0.5942383,-0.595229149,-0.53952783,-0.582921,0.756347656,0.7620006,0.681205,0.75678915,0.3232422,0.317911863,0.38269216,0.32579675,0.00106422522,0.0009591165,0.012081945,-0.00212845043,-0.00141896692,-0.19984846,-0.00106422522,-0.00106422522,0.069026016
30,-0.5932617,-0.5952196,-0.5387298,-0.58212644,0.766601563,0.7647424,0.67888993,0.7765697,0.313476563,0.3133274,0.38311023,0.31925344,0.00212845043,0.00138393079,0.01254816,-0.00106422522,-0.00153721415,-0.19988817,0.0,-6.2568e-05,0.06917193
31,-0.597167969,-0.596030235,-0.5358447,-0.5857455,0.765625,0.7620756,0.67923,0.7761996,0.30859375,0.310497165,0.3806433,0.31484222,0.00106422522,0.000461310265,0.012412083,-0.00212845043,-0.00212845043,-0.19976948,0.00106422522,0.00106422522,0.06910601
32,-0.5957031,-0.5963004,-0.5383561,-0.5875837,0.7558594,0.758745253,0.67679644,0.76548487,0.3095703,0.31264618,0.38323435,0.31753296,-0.00106422522,-0.00106422522,0.01174571,0.0,-0.000756971247,-0.1992026,-0.00212845043,-0.00212845043,0.068870865
33,-0.597167969,-0.594925642,-0.53712326,-0.5836304,0.7583008,0.7582862,0.67842764,0.7683376,0.3178711,0.3117349,0.38081306,0.31863293,0.0,-0.0006992528,0.011604088,0.00212845043,0.00212845043,-0.19877294,0.0,-0.00208967039,0.06897848
34,-0.5913086,-0.595769465,-0.53639513,-0.5805921,0.7578125,0.7602491,0.6749704,0.76899195,0.3046875,0.313872576,0.3810946,0.3228271,0.00106422522,0.00106422522,0.012029991,-0.00106422522,0.00106422522,-0.19835933,0.00106422522,0.00106422522,0.06938772
35,-0.6010742,-0.597678363,-0.5413552,-0.59018546,0.764648438,0.761228859,0.6745663,0.77243006,0.3251953,0.3175148,0.38285348,0.32588866,0.0,0.00158669846,0.012247792,0.00212845043,0.0007094836,-0.19827873,0.00106422522,0.000354741729,0.0696598
36,-0.5961914,-0.5958733,-0.5399573,-0.584647,0.758789063,0.7579747,0.6794557,0.768031,0.313476563,0.3136833,0.38201544,0.31922138,0.00106422522,0.00106422522,0.012156983,-0.00106422522,-0.00106422522,-0.19853532,-0.00106422522,0.000118247233,0.06965532
37,-0.59375,-0.5955971,-0.5398815,-0.57975715,0.75390625,0.758517563,0.6791876,0.7595278,0.3100586,0.311104059,0.38590404,0.3153575,0.0,0.000354741729,0.0120557705,0.0,-0.000354741729,-0.19880079,0.00106422522,0.000748899241,0.069795996
38,-0.597167969,-0.5971326,-0.54118013,-0.5893722,0.7636719,0.7614655,0.67732,0.7711489,0.3095703,0.31333676,0.38410336,0.31883585,0.0,0.000430088927,0.012100893,0.0,-0.001006704,-0.19927233,0.00106422522,0.0009591165,0.07013316
39,-0.5986328,-0.5947148,-0.53385067,-0.58450115,0.762207031,0.7580536,0.67551297,0.7736926,0.319335938,0.313918233,0.38261032,0.320884,0.00106422522,0.00106422522,0.012143115,-0.00319267553,-0.00319267553,-0.19949137,0.00106422522,0.00138393079,0.070401445
40,-0.5883789,-0.5947227,-0.53519434,-0.58089626,0.7504883,0.75496316,0.67646617,0.75433636,0.309082031,0.3098803,0.38322613,0.31502894,0.0,0.000354741729,0.012096605,0.0,-0.00226015551,-0.19936688,0.00212845043,0.00212845043,0.07043944
41,-0.6010742,-0.5957019,-0.5375831,-0.58534116,0.756347656,0.7588158,0.67489487,0.76864076,0.306640625,0.305930138,0.38312978,0.30884776,0.0,0.000118247241,0.012013967,0.00106422522,0.00106422522,-0.19914347,0.0,0.0019461097,0.07025573
42,-0.5913086,-0.596028268,-0.53692013,-0.5831492,0.7651367,0.7597745,0.6778056,0.7793062,0.301269531,0.309984535,0.38366386,0.31494647,0.0,0.000465733377,0.011833418,0.0,0.0012527582,-0.19884863,0.00106422522,0.00106422522,0.07002734
43,-0.6010742,-0.5969508,-0.54093874,-0.5874605,0.7553711,0.758141,0.6789068,0.7593547,0.3227539,0.3183347,0.3837672,0.324171,0.00106422522,0.00106422522,0.011596545,-0.00106422522,-0.00106422522,-0.19877729,0.00106422522,0.000354741729,0.069602676
44,-0.59375,-0.595468,-0.54020727,-0.5843983,0.759277344,0.763944149,0.68207484,0.7688522,0.322265625,0.320141524,0.38484848,0.32726136,-0.00212845043,0.00123178994,0.011340415,0.00106422522,-0.000354741729,-0.19889323,-0.00106422522,-0.0005912362,0.06913576
45,-0.5957031,-0.5964386,-0.54007643,-0.5816182,0.774414063,0.7660413,0.6824662,0.7855872,0.319824219,0.320581049,0.3834523,0.32817256,0.00106422522,0.00106422522,0.011398613,-0.00106422522,-0.0008277307,-0.19904627,-0.00106422522,-0.00106422522,0.06907168
46,-0.598144531,-0.598877966,-0.53844506,-0.5877829,0.7597656,0.760718167,0.68310213,0.7689806,0.321777344,0.318286151,0.38297084,0.32381862,0.0,0.000354741729,0.011645127,-0.00106422522,-0.00106422522,-0.19888161,0.0,-0.000363204628,0.06937816
47,-0.6020508,-0.5996911,-0.54058325,-0.59256047,0.756347656,0.7594321,0.6837301,0.76024103,0.3125,0.312638372,0.3813447,0.31707883,0.0,-0.000388823915,0.011547333,0.0,-0.0002842431,-0.19861202,0.00106422522,0.00106422522,0.069957584
48,-0.598144531,-0.5971952,-0.54041654,-0.5879634,0.761230469,0.7619331,0.6779331,0.77289766,0.3071289,0.3097792,0.38234845,0.3137013,-0.00106422522,-0.00106422522,0.0111113805,0.00106422522,0.00106422522,-0.19815907,0.00106422522,0.00141896692,0.070506625
49,-0.59375,-0.596363246,-0.53875047,-0.58403355,0.7651367,0.763743341,0.67822456,0.7729812,0.3095703,0.312569618,0.37975115,0.31590635,-0.00106422522,-0.00106422522,0.0109434305,0.00212845043,0.00141896692,-0.1979535,0.00212845043,0.00153721415,0.0706924
50,-0.598144531,-0.5934818,-0.54092145,-0.583718,0.764160156,0.7615798,0.67509764,0.7712662,0.318359375,0.3157784,0.37768605,0.32061678,0.0,-0.00101766363,0.010966703,0.00106422522,0.000472988962,-0.1981238,0.00106422522,0.00122188823,0.070514955
51,-0.5859375,-0.5928468,-0.5318631,-0.5786262,0.756835938,0.7584172,0.6747962,0.7666099,0.31640625,0.315871447,0.3753152,0.3228784,-0.00106422522,-0.00106422522,0.010959554,-0.00106422522,-0.00106422522,-0.19838856,0.00106422522,0.00106422522,0.07002719
52,-0.5991211,-0.59475106,-0.5340096,-0.58537734,0.756835938,0.7585023,0.675445,0.7634358,0.3154297,0.314600378,0.3769395,0.31882873,-0.00106422522,-0.00106422522,0.011107308,0.0,-0.000703259546,-0.19873455,0.0,0.000256855943,0.06952107
53,-0.592285156,-0.5950603,-0.5370251,-0.58664083,0.7602539,0.761948645,0.67620236,0.7730682,0.3125,0.306038648,0.38075146,0.3128061,0.0,-0.000354741729,0.011385089,0.00106422522,0.00106422522,-0.19885252,-0.00106422522,-0.00106422522,0.06922395
54,-0.598144531,-0.593373,-0.5345605,-0.582262,0.767089844,0.7616326,0.6762948,0.7754384,0.291015625,0.301394373,0.37968218,0.31070969,0.0,0.0004033234,0.011935282,0.0,0.0004094987,-0.19909002,0.0,-0.000354741729,0.06920258
55,-0.586914063,-0.591508448,-0.54169494,-0.57868487,0.7558594,0.7585976,0.67639303,0.7638287,0.3071289,0.2998463,0.37579527,0.30801827,0.00106422522,0.00106422522,0.012188775,-0.00212845043,-0.00212845043,-0.19924156,0.0,0.0005031257,0.06943031
56,-0.5942383,-0.594793141,-0.53903776,-0.58172303,0.7583008,0.76051563,0.67830026,0.76879114,0.291015625,0.299818546,0.37735078,0.30849046,0.0,0.000354741729,0.012122217,0.0,-0.000709483458,-0.19936965,0.00106422522,0.00106422522,0.069708586
57,-0.5986328,-0.5997943,-0.5394423,-0.58951205,0.764648438,0.761806,0.67850703,0.7758511,0.30859375,0.3022507,0.37913284,0.30925247,0.0,0.000336036028,0.012086525,0.0,-0.000169652572,-0.19939424,0.0,0.001198114,0.070084
58,-0.605957031,-0.6014614,-0.5441622,-0.5949005,0.7602539,0.759306431,0.68135697,0.7711127,0.298339844,0.300620049,0.37695238,0.3071866,0.00106422522,0.00106422522,0.011880993,-0.00106422522,-0.00106422522,-0.19914366,0.00106422522,0.00106422522,0.07042784
59,-0.5986328,-0.5994129,-0.53968227,-0.5888326,0.7558594,0.758636,0.68185973,0.7622782,0.301269531,0.307888985,0.37907487,0.3116803,0.0,0.000501625938,0.011619327,-0.00106422522,-0.000354741729,-0.19890359,0.00212845043,0.00212845043,0.070367254
60,-0.598144531,-0.5966142,-0.5401331,-0.5897672,0.7607422,0.762156,0.677504,0.77108735,0.321777344,0.315032,0.37990662,0.31955445,-0.00106422522,-0.00106422522,0.011298117,0.00106422522,0.000945978041,-0.19846351,0.0,0.000709483458,0.06998494
61,-0.592285156,-0.592588842,-0.5387892,-0.5817113,0.767089844,0.7608879,0.67658377,0.7764683,0.3154297,0.310739845,0.37761658,0.31971323,0.0,-0.000354741729,0.011242216,0.00212845043,0.00212845043,-0.19823876,0.0,0.000236494481,0.06953712
62,-0.5888672,-0.594176769,-0.53582525,-0.5766572,0.753417969,0.7585121,0.6763499,0.76028866,0.3017578,0.307681531,0.37929887,0.31491724,0.0,-0.0002597222,0.011514421,0.0,0.000709483458,-0.1984645,0.0,7.88314937e-05,0.06926108
63,-0.6010742,-0.5982868,-0.53936255,-0.5917218,0.761230469,0.7583712,0.6750576,0.77177805,0.310546875,0.308126926,0.37942174,0.31294033,-0.00106422522,-0.00106422522,0.011772719,0.0,-0.0004963152,-0.19881807,0.0,-0.000394234463,0.06921706
64,-0.5996094,-0.5980292,-0.5394824,-0.5956704,0.7553711,0.7558828,0.67620295,0.7681684,0.306152344,0.309089184,0.37774733,0.31399044,0.00106422522,0.000354741729,0.01244641,-0.00106422522,-0.00106422522,-0.19946414,-0.00106422522,-0.00106422522,0.06931763
65,-0.5961914,-0.5935488,-0.537748,-0.5830014,0.75390625,0.756680965,0.67721033,0.7566537,0.312988281,0.311851352,0.37725726,0.31656957,0.00106422522,0.00118247245,0.012950621,-0.00212845043,-0.00141896692,-0.19978544,0.00106422522,0.00106422522,0.06942775
66,-0.5864258,-0.5946595,-0.5399421,-0.5737487,0.7602539,0.759062946,0.6723832,0.7665706,0.313476563,0.315376252,0.3796586,0.32180974,0.00212845043,0.0014583827,0.013108121,-0.00106422522,-0.00118247245,-0.19989741,0.0,0.000354741729,0.06947046
67,-0.6040039,-0.5992615,-0.5403763,-0.59398735,0.7602539,0.760508,0.6732918,0.7744447,0.320800781,0.316876739,0.3854971,0.32684934,0.00106422522,0.001195611,0.013021819,-0.00106422522,-0.001103641,-0.1998213,0.0,0.000118247241,0.06946485
68,-0.5991211,-0.5981913,-0.54023904,-0.5923702,0.762207031,0.7575717,0.6805016,0.7687313,0.314453125,0.309401631,0.38035163,0.32137161,0.00106422522,0.00106422522,0.012479078,-0.00106422522,-0.00106422522,-0.19953749,0.0,3.94157469e-05,0.06944665
69,-0.5961914,-0.5953932,-0.54017276,-0.5826212,0.75,0.7551281,0.67785263,0.75758564,0.296875,0.3087003,0.3813975,0.31361508,0.0,0.000354741729,0.012067724,0.0,-0.00105087983,-0.19932963,0.0,0.0007740302,0.069505125
70,-0.5917969,-0.59543705,-0.5382948,-0.58184093,0.7578125,0.757406,0.6788638,0.7682805,0.319824219,0.312861055,0.38254765,0.3158791,0.0,0.000118247241,0.01188894,-0.00106422522,-0.00106422522,-0.1992095,0.00212845043,0.00212845043,0.069559395
71,-0.5991211,-0.5969165,-0.54049236,-0.58721435,0.759277344,0.7584908,0.6769536,0.7696089,0.3100586,0.307249278,0.379449,0.3149908,0.0,0.000450908265,0.012034923,0.00106422522,-0.000354741729,-0.19921564,-0.00106422522,-0.00106422522,0.06960399
72,-0.5961914,-0.5983862,-0.5404542,-0.5851712,0.758789063,0.760317266,0.680277,0.7662096,0.298828125,0.310098737,0.38328883,0.3176102,0.00106422522,0.00106422522,0.012539174,-0.00106422522,-0.00118247245,-0.19942345,0.0,-0.00144005287,0.06966983
73,-0.6020508,-0.600015461,-0.54312176,-0.59044796,0.7636719,0.7651579,0.67962134,0.77433836,0.32421875,0.315117568,0.37868947,0.32290262,0.00106422522,0.00106422522,0.0127235195,-0.00212845043,-0.0014583827,-0.19958238,0.00106422522,0.00106422522,0.06969211
74,-0.5996094,-0.599256456,-0.5402973,-0.592246,0.7714844,0.7675852,0.6813755,0.7815221,0.311035156,0.31255874,0.38104585,0.32017726,0.00106422522,0.00106422522,0.012436237,-0.00106422522,-0.000486127537,-0.19936839,0.00106422522,0.00106422522,0.06961632
75,-0.598144531,-0.5960738,-0.5384843,-0.58590335,0.7661133,0.7656274,0.6843988,0.77670497,0.311523438,0.315123767,0.38485956,0.3217525,0.0,0.000354741729,0.01210684,0.00106422522,0.00106422522,-0.19908042,0.00106422522,-0.00145296031,0.06954198
76,-0.5908203,-0.5950129,-0.5391613,-0.57889277,0.7631836,0.766114056,0.6789481,0.77459824,0.321289063,0.3163043,0.38227972,0.32508707,0.0,0.000118247241,0.011852777,0.0,0.000354741729,-0.19883038,-0.00212845043,-0.00212845043,0.06954623
77,-0.598144531,-0.5972634,-0.5374057,-0.58500075,0.76953125,0.765950739,0.68102676,0.7775941,0.3125,0.3175116,0.38500923,0.32429665,0.0,0.000452959735,0.011904977,0.0,-0.000519146735,-0.19884227,0.00212845043,0.00212845043,0.06968039
78,-0.5986328,-0.598501861,-0.54068005,-0.59332097,0.762207031,0.7655708,0.6862538,0.77186966,0.323730469,0.3192161,0.38348597,0.32314494,0.00106422522,0.00106422522,0.012217002,-0.00106422522,-0.00106422522,-0.19917208,0.00106422522,0.0007094836,0.06986007
79,-0.5996094,-0.594520152,-0.5377618,-0.5847614,0.7685547,0.7613752,0.6852754,0.7750546,0.31640625,0.313762158,0.3832171,0.3196768,0.0,0.00123624678,0.012407551,0.0,-0.00158539007,-0.19941923,-0.00106422522,0.0005912362,0.06965204
80,-0.5854492,-0.5946577,-0.5367448,-0.5763716,0.75,0.7599766,0.6779231,0.75936204,0.305664063,0.3101538,0.38399997,0.3153385,0.00106422522,0.00106422522,0.0123924855,-0.00212845043,-0.00212845043,-0.19948041,0.00212845043,0.000197078727,0.0690867
81,-0.6040039,-0.5974705,-0.5383546,-0.5898364,0.7685547,0.763905,0.6780993,0.77298385,0.311035156,0.315135926,0.38487303,0.3235613,0.00106422522,0.000354741729,0.012225681,-0.00106422522,-0.0007094836,-0.19936763,-0.00212845043,-0.0013532741,0.06863706
82,-0.59375,-0.596455038,-0.5359493,-0.5857471,0.7631836,0.7608199,0.67502433,0.7801893,0.32421875,0.310937256,0.3860425,0.32630947,-0.00106422522,0.000472988962,0.012165069,0.00106422522,-0.0005912362,-0.19932187,-0.00212845043,-0.0008058331,0.06858715
83,-0.598144531,-0.5962793,-0.5389259,-0.5841822,0.7553711,0.757187366,0.6727872,0.7558809,0.293457031,0.3062825,0.38761097,0.31394267,0.00212845043,0.00122188823,0.012326136,-0.00212845043,-0.001261304,-0.19935697,0.00106422522,-0.000268611038,0.06875271
84,-0.5942383,-0.5945931,-0.5382668,-0.58344144,0.7553711,0.7572786,0.6796557,0.766136,0.314453125,0.308148861,0.38641888,0.3126928,0.00106422522,0.00106422522,0.012505625,-0.00106422522,0.0006437905,-0.19918586,-0.00106422522,-0.00106422522,0.06894079
85,-0.5932617,-0.594356537,-0.53480786,-0.5806527,0.759277344,0.758448362,0.6790427,0.7686947,0.303710938,0.306655079,0.38768667,0.31457445,0.0,0.000354741729,0.012360104,0.004256901,0.004256901,-0.19891931,0.0,-0.000354741729,0.069135025
86,-0.595214844,-0.5950915,-0.5360319,-0.58880746,0.758789063,0.759001,0.67703074,0.77036065,0.308105469,0.305831641,0.38832748,0.31152624,0.0,0.000411214685,0.012130859,0.0,0.002522219,-0.19886991,0.0,-0.000118247241,0.06929683
87,-0.5957031,-0.5930579,-0.5373762,-0.5800936,0.7597656,0.760324538,0.67845434,0.76830983,0.302734375,0.308486849,0.38600796,0.3112237,0.00106422522,0.00106422522,0.012127308,-0.00319267553,-0.00319267553,-0.19904698,0.0,0.0007057255,0.06983828
88,-0.5883789,-0.5967745,-0.53721946,-0.57991344,0.762207031,0.765648544,0.6811372,0.77025235,0.316894531,0.314743,0.38641256,0.31739372,0.0,0.000354741729,0.0121031245,0.00106422522,-0.0010642251,-0.19933268,0.00212845043,0.00212845043,0.07059203
89,-0.6088867,-0.5985017,-0.54145175,-0.5974117,0.774414063,0.7677488,0.68087465,0.78512555,0.318847656,0.319107056,0.38221368,0.3259764,0.0,0.000328482449,0.012003191,-0.00106422522,-0.0014189668,-0.19948879,0.00212845043,0.00212845043,0.07083386
90,-0.58984375,-0.593218,-0.54029316,-0.5833825,0.7631836,0.7642171,0.6827543,0.7721337,0.323730469,0.3194224,0.38226444,0.32680348,0.00106422522,0.00106422522,0.0117800515,-0.00212845043,-0.000472988933,-0.19919246,0.00212845043,0.00177370862,0.07042772
91,-0.5913086,-0.592107832,-0.5383616,-0.57370126,0.76171875,0.765318453,0.68431556,0.7666087,0.3154297,0.3170861,0.38358384,0.32313287,-0.00106422522,-0.00106422522,0.011602557,0.00212845043,0.00212845043,-0.1988409,0.00106422522,0.000236494467,0.06977368
92,-0.5917969,-0.5940164,-0.5376374,-0.5830688,0.770019531,0.7676387,0.67674756,0.77906936,0.31640625,0.317446679,0.38284063,0.32142326,0.0,-0.000354741729,0.0117009105,0.0,0.000709483458,-0.19877915,-0.00212845043,-0.00027591025,0.06934757
93,-0.598144531,-0.596117437,-0.53939617,-0.5883878,0.7675781,0.7632038,0.67727804,0.77749896,0.318847656,0.316427559,0.38304055,0.32265824,0.0,0.000609933166,0.012005555,0.0,-0.00100951968,-0.19899371,0.00106422522,0.0006175134,0.06931589
94,-0.5961914,-0.5969806,-0.53976834,-0.5852628,0.754394531,0.7560289,0.67906487,0.76237863,0.312988281,0.317227155,0.38296083,0.32491705,0.00106422522,0.00106422522,0.012268553,-0.00212845043,-0.00212845043,-0.19935434,0.00106422522,0.00106422522,0.069526605
95,-0.5986328,-0.600849,-0.54095036,-0.5876376,0.7504883,0.754451036,0.6785192,0.7552722,0.322265625,0.316191584,0.38392276,0.3243052,0.00106422522,0.000354741729,0.012167238,-0.00106422522,-0.00106422522,-0.19949722,0.0,0.000354741729,0.069610156
96,-0.6069336,-0.6019757,-0.5477425,-0.5939547,0.756835938,0.757831335,0.6752462,0.7686749,0.309082031,0.309010476,0.38600358,0.31348673,-0.00106422522,0.000118247233,0.011881132,0.0,-0.00103253056,-0.19979885,0.0,0.000118247241,0.06953405
97,-0.598144531,-0.601211965,-0.54162914,-0.5873425,0.762207031,0.7597719,0.6774103,0.77024925,0.3017578,0.302873284,0.38513356,0.30239454,0.00106422522,0.000748899241,0.012008002,-0.00212845043,-0.00212845043,-0.20001264,0.0,3.94157469e-05,0.069447294
98,-0.6035156,-0.6037243,-0.5445319,-0.5900499,0.759277344,0.75911665,0.67286766,0.7651386,0.297851563,0.3050593,0.3859205,0.3054514,0.00106422522,0.0009591165,0.012551614,-0.00106422522,-0.00212845043,-0.2005084,0.0,1.31385823e-05,0.06943124
