frame,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,prob_0,prob_1,prob_2,prob_3,prob_4,correct_answer,model_prediction
0,-0.0140695395,0.02079201,-1.0331682,0.00106422522,-0.00260143937,0.00134777848,0.8065981,0.54687846,0.2792605,0.21243425,0.19723189,0,0
1,-0.0138044292,0.02255567,-1.03416812,0.00106422522,-0.00228611333,0.00106422522,0.9508189,0.6456507,0.1256944,0.054897163,0.044821847,0,0
2,-0.0120884553,0.02444564,-1.032711,0.00110514031,-0.001826263,0.00212845043,0.98314255,0.70317096,0.06610167,0.019035466,0.0144229075,0,0
3,-0.0105399014,0.0260521919,-1.0348295,0.00106422522,-0.00202772114,0.000709483458,0.99118805,0.7139636,0.045007598,0.011019047,0.008119868,0,0
4,-0.009860956,0.0291918758,-1.03244317,0.000354741729,-0.00244961563,0.0006607639,0.9942546,0.7024142,0.03549176,0.008459966,0.006256886,0,0
5,-0.0101229222,0.0268204678,-1.02660215,0.00106422522,-0.0022355055,0.00212845043,0.995818,0.6801413,0.030185217,0.0074004917,0.005622244,0,0
6,-0.0136282137,0.0252161976,-1.029538,0.000354741729,-0.00216413545,0.00141896692,0.9967528,0.6530267,0.026895644,0.0068652895,0.0054415152,0,0
7,-0.0141456025,0.025658004,-1.03491116,0.000118247241,-0.00284982868,0.00106422522,0.9973681,0.6249985,0.024709806,0.0065265764,0.0054477328,0,0
8,-0.0143180648,0.0238521472,-1.02758753,-0.0003123057,-0.00236890977,0.00104192179,0.9978003,0.59847635,0.023139423,0.006264376,0.0055374037,0,0
9,-0.018607324,0.02097155,-1.02758777,-0.00106422522,-0.00185386185,0.00106422522,0.9981167,0.57449317,0.021931643,0.0060456423,0.005659425,0,0
10,-0.0190605149,0.01952307,-1.03377283,-0.000489276659,-0.00203692075,-0.00106422522,0.99835545,0.55325645,0.020952329,0.0058617303,0.005790326,0,0
11,-0.0185605362,0.020830607,-1.03306758,0.00106422522,-0.00209794031,-0.0009868093,0.9985407,0.53453726,0.0201241,0.0057080127,0.00592359,0,0
