frame,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,prob_0,prob_1,prob_2,prob_3,prob_4,correct_answer,model_prediction
0,-0.0140695395,0.02079201,-1.0331682,0.00106422522,-0.00260143937,0.00134777848,0.5576937,0.3966731,0.29789022,0.25793627,0.29082534,0,0
1,-0.0138044292,0.02255567,-1.03416812,0.00106422522,-0.00228611333,0.00106422522,0.68540704,0.26910362,0.13515835,0.06632127,0.10586473,0,0
2,-0.0120884553,0.02444564,-1.032711,0.00110514031,-0.001826263,0.00212845043,0.8461213,0.1179259,0.030218791,0.005271454,0.016235383,0,0
3,-0.0105399014,0.0260521919,-1.0348295,0.00106422522,-0.00202772114,0.000709483458,0.95465904,0.035069495,0.004425741,0.00025166982,0.001676987,0,0
4,-0.009860956,0.0291918758,-1.03244317,0.000354741729,-0.00244961563,0.0006607639,0.98732424,0.011064586,0.00088577915,2.3830722e-05,0.00029728538,0,0
5,-0.0101229222,0.0268204678,-1.02660215,0.00106422522,-0.0022355055,0.00212845043,0.99451464,0.0049930727,0.000351348,6.614026e-06,0.00012136239,0,0
6,-0.0136282137,0.0252161976,-1.029538,0.000354741729,-0.00216413545,0.00141896692,0.99657464,0.0031719727,0.0002284496,3.689716e-06,8.333791e-05,0,0
7,-0.0141456025,0.025658004,-1.03491116,0.000118247241,-0.00284982868,0.00106422522,0.99741507,0.0024969783,0.00018970204,2.878318e-06,7.255683e-05,0,0
8,-0.0143180648,0.0238521472,-1.02758753,-0.0003123057,-0.00236890977,0.00104192179,0.9978515,0.0021990435,0.0001776174,2.638479e-06,7.054375e-05,0,0
9,-0.018607324,0.02097155,-1.02758777,-0.00106422522,-0.00185386185,0.00106422522,0.9981189,0.0020366586,0.00017793251,2.632964e-06,7.2936644e-05,0,0
10,-0.0190605149,0.01952307,-1.03377283,-0.000489276659,-0.00203692075,-0.00106422522,0.9983068,0.0019170447,0.00018619682,2.7613387e-06,7.876867e-05,0,0
11,-0.0185605362,0.020830607,-1.03306758,0.00106422522,-0.00209794031,-0.0009868093,0.9984529,0.0018058083,0.00020073778,2.9884302e-06,8.7911394e-05,0,0
12,-0.0192076787,0.0243589,-1.03397179,-0.00106422522,-0.00176353857,0.00106422522,0.99857104,0.0016991242,0.00021976973,3.2836626e-06,9.958141e-05,0,0
13,-0.0153543828,0.0245584343,-1.02906477,-0.00189082127,-0.00129732967,0.00106422522,0.99866325,0.001608076,0.00024020598,3.600218e-06,0.00011167907,0,0
14,-0.01390719,0.022346301,-1.02775466,-0.00106422522,-0.00185141014,0.000111612921,0.9987319,0.0015392959,0.0002591639,3.893446e-06,0.00012201008,0,0
15,-0.0178193245,0.0222599655,-1.03106153,9.918662e-06,-0.00203610375,-0.00106422522,0.9987826,0.0014896415,0.0002756447,4.1456574e-06,0.0001297748,0,0
16,-0.019774409,0.021417385,-1.03004789,0.00106422522,-0.00138818473,0.00106422522,0.9988208,0.0014525793,0.00029025797,4.3649857e-06,0.00013539653,0,0
